arch,case_id,klass,klass_name,dice,hd95
sea,pancreas_081,1,pancreas,0.59873,10.19804
sea,pancreas_081,2,mass,0.0,
sea,pancreas_074,1,pancreas,0.53873,5.83095
sea,pancreas_074,2,mass,0.28017,4.12311
sea,pancreas_012,1,pancreas,0.65529,2.44949
sea,pancreas_012,2,mass,0.24129,9.05539
sea,pancreas_247,1,pancreas,0.74232,2.23607
sea,pancreas_247,2,mass,0.37037,6.36384
sea,pancreas_230,1,pancreas,0.54501,11.50867
sea,pancreas_230,2,mass,0.45503,2.23607
sea,pancreas_364,1,pancreas,0.529,27.18455
sea,pancreas_364,2,mass,0.0,29.06888
sea,pancreas_077,1,pancreas,0.66705,3.74166
sea,pancreas_077,2,mass,0.57963,4.12311
sea,pancreas_166,1,pancreas,0.80214,1.0
sea,pancreas_166,2,mass,0.02519,20.83507
sea,pancreas_113,1,pancreas,0.66806,6.0
sea,pancreas_113,2,mass,0.13227,16.19542
sea,pancreas_120,1,pancreas,0.41246,18.46619
sea,pancreas_120,2,mass,0.18497,9.25199
